listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
127257,10,1,Shelly B.,Highly Recommended - Great Location and Ammenities,5,2017-02-01T00:00:00.000+0000,VRBO,2017-04-05T17:09:00.000+0000
127257,10,2,Linda S.,Home Sweet Home,5,2015-11-01T00:00:00.000+0000,VRBO,2016-02-17T21:07:59.467+0000
127257,10,3,Piengjit  C.,good for single or business travelers ,4,2015-03-01T00:00:00.000+0000,VRBO,2015-05-19T02:30:49.467+0000
127257,10,4,dan,Perfect.,5,2011-09-28T00:00:00.000+0000,VRBO,2011-10-05T12:45:09.297+0000
127257,10,5,Purgatory,Great spot - easy short walk to many great restaraunts.,5,2011-08-24T00:00:00.000+0000,VRBO,2011-09-09T17:43:24.243+0000
127257,10,6,She,Perfect Holiday Base in Denver,5,2011-08-06T00:00:00.000+0000,VRBO,2011-08-31T21:32:52.507+0000
127257,10,7,BE,Great spot in Denver,4,2011-05-09T00:00:00.000+0000,VRBO,2011-06-14T05:59:49.487+0000
127257,10,8,Ellen,Enjoyable stay!,5,2011-04-29T00:00:00.000+0000,VRBO,2011-06-04T19:50:18.890+0000
127257,10,9,Ron,Great Condo - Great Location - Great Stay,4,2011-04-20T00:00:00.000+0000,VRBO,2011-05-16T23:09:12.520+0000
127257,10,10,Andrea,PERFECT PLACE for our stay in Denver!,5,2011-03-03T00:00:00.000+0000,VRBO,2011-04-12T02:19:24.070+0000
733332,2,1,Albert S.,"Pleasant place, great location",4,2017-01-02T00:00:00.000+0000,VRBO,2017-03-11T19:15:00.000+0000
733332,2,2,Howard H.,Nicely Furnished and Well-Equipped Condo,4,2016-08-01T00:00:00.000+0000,VRBO,2016-09-12T18:56:00.000+0000
3753669ha,76,1,Esther L.,"Very clean, modern! Enough pots and pans/kitchenware to cook. Very comfortable",5,2017-03-14T00:00:00.000+0000,VRBO,2017-03-21T02:23:00.000+0000
3753669ha,76,2,Teresa P.,Spacious and convenient,4,2017-01-05T00:00:00.000+0000,VRBO,2017-01-10T08:00:00.000+0000
3753669ha,76,3,Allison L.,Nice with great view. Only minor complaints,4,2017-01-06T00:00:00.000+0000,VRBO,2017-01-08T16:09:00.000+0000
3753669ha,76,4,J W.,Amazing!,5,2016-12-16T00:00:00.000+0000,VRBO,2017-01-02T13:32:00.000+0000
3753669ha,76,5,kimberly h.,Good location and Nice space,4,2016-12-22T00:00:00.000+0000,VRBO,2016-12-27T14:22:00.000+0000
3753669ha,76,6,Dave,Solera was a nice property well located to downtown and 16th street mall.,4,2016-11-23T00:00:00.000+0000,VRBO,2016-11-27T17:52:00.000+0000
3753669ha,76,7,Juanita_001,"Great place, great location",5,2016-11-02T00:00:00.000+0000,VRBO,2016-11-03T17:20:54.320+0000
3753669ha,76,8,Jane M.,"Great place, great location",5,2016-10-29T00:00:00.000+0000,VRBO,2016-11-03T00:30:00.000+0000
3753669ha,76,9,WmNess,Great Alternative to Trade Show Hotels,5,2016-10-27T00:00:00.000+0000,VRBO,2016-11-02T19:23:24.213+0000
3753669ha,76,10,G.S,Great location for a longer stay.,5,2016-10-21T00:00:00.000+0000,VRBO,2016-11-02T19:22:35.933+0000
3753669ha,76,11,Cio H.,"Beautiful and safe building, far better experience than a hotel",5,2016-10-29T00:00:00.000+0000,VRBO,2016-11-02T14:31:00.000+0000
3753669ha,76,12,Nancy S.,"Nice Accommodations, Great Location",4,2016-10-28T00:00:00.000+0000,VRBO,2016-10-31T21:12:00.000+0000
3753669ha,76,13,Ben  A.,"Nice place, great location",4,2016-10-05T00:00:00.000+0000,VRBO,2016-10-22T17:40:00.000+0000
3753669ha,76,14,Kimberly W.,"Good location, nice amenities, spacious unit, mediocre furnishings",3,2016-09-27T00:00:00.000+0000,VRBO,2016-09-30T14:39:00.000+0000
3753669ha,76,15,John H.,Great Location - Apartment is Awesome,4,2016-09-16T00:00:00.000+0000,VRBO,2016-09-28T19:46:00.000+0000
3753669ha,76,16,Bill N.,Excellent Property for Business Lodging,4,2016-09-14T00:00:00.000+0000,VRBO,2016-09-19T15:30:00.000+0000
3753669ha,76,17,Lizbeth O.,A great downtown Denver experience!,5,2016-08-26T00:00:00.000+0000,VRBO,2016-08-30T19:16:00.000+0000
3753669ha,76,18,BRIAN B.,Very pleased with our stay.,5,2016-05-18T00:00:00.000+0000,VRBO,2016-05-25T12:55:00.000+0000
3753669ha,76,19,Meredith W.,great,5,2016-04-28T00:00:00.000+0000,VRBO,2016-05-05T21:45:13.580+0000
3753669ha,76,20,L.H,Great place,5,2016-02-18T00:00:00.000+0000,VRBO,2016-03-01T22:58:22.837+0000
3753669ha,76,21,Yasdnil66,AMAZEBALLS!!,5,2016-02-04T00:00:00.000+0000,VRBO,2016-02-13T16:26:46.527+0000
3753669ha,76,22,Courtney O.,HappyFloridians,5,2016-01-24T00:00:00.000+0000,VRBO,2016-02-06T20:40:34.433+0000
3753669ha,76,23,JB,Easy,5,2016-01-28T00:00:00.000+0000,VRBO,2016-02-01T20:33:08.163+0000
3753669ha,76,24,Claudia,Very pleasant,5,2015-12-26T00:00:00.000+0000,VRBO,2016-01-19T08:49:26.807+0000
3753669ha,76,25,Darci G.,Stay Alfred,5,2015-12-05T00:00:00.000+0000,VRBO,2016-01-18T23:27:19.467+0000
