listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
3768273ha,8,1,Liz D.,Perfect for our holiday stay!,5,2015-12-23T00:00:00.000+0000,VRBO,2016-02-12T16:13:54.533+0000
3768273ha,8,2,Rebecca G.,"Cozy, clean and comfortable",5,2015-07-11T00:00:00.000+0000,VRBO,2015-07-22T14:17:42.717+0000
3768273ha,8,3,TMG,Sweet comfortable house,4,2015-05-15T00:00:00.000+0000,VRBO,2015-05-21T13:59:08.733+0000
3768273ha,8,4,Sally K.,"Confortable and cozy, beach house style.",5,2015-05-06T00:00:00.000+0000,VRBO,2015-05-15T04:00:16.220+0000
3768273ha,8,5,Anonymous,Better than we could have imagined!,5,2015-03-05T00:00:00.000+0000,VRBO,2015-05-09T22:28:00.000+0000
3768273ha,8,6,Anonymous,"Cozy, well equipped, comfortable, quiet.",5,2015-01-05T00:00:00.000+0000,VRBO,2015-04-14T01:18:55.420+0000
3768273ha,8,7,Susan P.,The Perfect Getaway,5,2014-04-26T00:00:00.000+0000,VRBO,2014-11-30T16:50:23.713+0000
3768273ha,8,8,Cliff,"Great space, great location",5,2014-08-23T00:00:00.000+0000,VRBO,2014-10-22T03:08:27.893+0000
4507167ha,1,1,Kristine D.,Charming quiet relaxing stay,5,2017-04-02T00:00:00.000+0000,VRBO,2017-04-16T10:13:00.000+0000
3643547ha,12,1,Elvira C.,Nice place,4,2017-05-13T00:00:00.000+0000,VRBO,2017-05-20T22:58:00.000+0000
3643547ha,12,2,kristine k.,Country retreat,5,2017-04-17T00:00:00.000+0000,VRBO,2017-04-23T16:04:00.000+0000
3643547ha,12,3,Shawn  B.,Incredible,5,2017-02-11T00:00:00.000+0000,VRBO,2017-02-13T19:00:00.000+0000
3643547ha,12,4,Natalie L.,Wonderful ,5,2016-12-12T00:00:00.000+0000,VRBO,2017-01-23T04:42:40.927+0000
3643547ha,12,5,veronica l.,confortable and cute,5,2016-10-23T00:00:00.000+0000,VRBO,2016-11-19T01:31:00.000+0000
